user,userId,userUrl,publicId,submissionUrl,deleted
"miguelmota","168240","https://github.com/miguelmota","0x003d96e8547dc4f3d5c75473cc719c78c6cd0f4459c543084d79d71a52adca3c","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085212001","undefined"
"zah","175462","https://github.com/zah","0x05556c26c5d722da32f57ca29a0f9f049525d2718961d1d875723795a6eb7ecf","https://gist.github.com/10c4e82355d04c62225eae0afc2038c0","undefined"
"alcuadrado","176499","https://github.com/alcuadrado","0x1f2028d2a089c7489543ce1fac4558b9b1a3b825ac57509bfc3cb9607b1071c0","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094058599","undefined"
"maciejka","190855","https://github.com/maciejka","0x278e8badf81710df5e067f928792d82740270e68ede06cbb504e486b74ecab5c","https://gist.github.com/c7592851e74184c7df7c65eae04fb9b1","undefined"
"levity","193667","https://github.com/levity","0x217ba17fd9049fe37abd27222d96bafd833296844e56b07f7c809f7c236610ba","https://gist.github.com/50920b3a176f4b0b56c24acd74f4cdb5","undefined"
"rakanalh","195829","https://github.com/rakanalh","0x168b63be574043511ec048c2b4cdab8ca1facdaada4d6ddfa190910f71758bfb","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087976693","undefined"
"mgarciap","201871","https://github.com/mgarciap","0x2e4293ff5ccdfc832d1cb7a975c4d11e52869a5ded9509d86466181cea8f0cbf","https://gist.github.com/70aa01ccd675a54ead6f34482bf2fa38","undefined"
"norswap","202175","https://github.com/norswap","0x118932f47cc042771d35d78af692caa25fd423be2283c67ac235a068188c71b6","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086688056","undefined"
"antibland","219139","https://github.com/antibland","0x214c9cb0e7aa46d2a2b7a8075057843658d912700b2890b0d64a79ae8fb6b738","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1091074337","true"
"alessio","229356","https://github.com/alessio","0x24abe08c1e0f1ac3fd4a38ef7e0a9877c12457e1af2724b41984c797fe8bca30","https://gist.github.com/3e361282d54ed0167420b67485fcd592","undefined"
"fzeoli","232174","https://github.com/fzeoli","undefined","https://gist.github.com/0cc2735bb86c0b1a4738eba46a22c3e6","undefined"
"spble","233229","https://github.com/spble","0x16a320089501c80b9af30e0cfa94186f85deafc4f304ab1117a1e205aebfce6e","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087075074","undefined"
"vorot93","240364","https://github.com/vorot93","0x20f2d9f27e148d955744790c801022bef9f729c2cbef60d3a0e2cfcd49030191","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085227946","undefined"
"biafra23","246473","https://github.com/biafra23","0x255fc87365096bfcc696e8e9ecbe737e31e5be3ac338d2fdfa47a20cf719f33e","https://gist.github.com/e1009cbc39116a5341b05793a104f107","undefined"
