userId,invalidSubmission,submissionUrl
210749672464056326,0x164aa6710c1039c7d7503b38749020027fc771db6d479de6a6db66e46e7c09c,https://discord.com/channels/754739461707006013/938531467716337714/961607407363055626
912296601924562944,0xa0FDC62479Ee01CC73a7162B4dF10E5148171c06,https://discord.com/channels/754739461707006013/938531467716337714/961592667953852426
814045937743036468,0x012bc792b5f6e24fea32b9885956e62dabad912e8240a481ec9ec8bc2,https://discord.com/channels/754739461707006013/938531467716337714/961495476379713606
755159570304860261,0x2547111297038dd45BB1B7bd21450197d4AF90AD,https://discord.com/channels/754739461707006013/938531467716337714/961015597024546826
448141667803856916,/submitpublicid,https://discord.com/channels/754739461707006013/938531467716337714/961015115099017217
889232997126131712,0xA5E7441c1944D3009A21e976c761c531DE9eAd13,https://discord.com/channels/754739461707006013/938531467716337714/960702979713925201
838950941297999873,/submitpublicid,https://discord.com/channels/754739461707006013/938531467716337714/959707336681873428
814288186393100358,958992422250115142,https://discord.com/channels/754739461707006013/938531467716337714/959289473542271006
809466006304980994,0x6fe619c554D7B435C90911e043304C95e959105c,https://discord.com/channels/754739461707006013/938531467716337714/959284128765870100
732439056461332482,Free flight#6795,https://discord.com/channels/754739461707006013/938531467716337714/959264437435498506
882813680297865256,0x016df52048c4Cc63ed2cc042E82b306ee2eBE5e3,https://discord.com/channels/754739461707006013/938531467716337714/959276749626155078
