user,userId,userUrl,publicId,submissionUrl
"evgenyboxer","254095","https://github.com/evgenyboxer","0x09257cc76d19a1fc802814b857ded1ca2680bdd21ba4a07ae833138978fe8718","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085178084"
"Georgi87","259400","https://github.com/Georgi87","0x2d0b907351b2d015a684b6a262504c128893d2cc2c34bd408800a1cf2626d5f7","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1091616540"
"dadepo","272535","https://github.com/dadepo","0x14079c6f949d2831acbeb5eebc9d013b77caf37f436b41c9b5e155d3929ccbfd","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086085124"
"DmitryBespalov","284056","https://github.com/DmitryBespalov","0x30487280e8a799826ef5521dd96cd0f040b3e8f22f4dcb7e39eb8b2fb3e51d29","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087895015"
"konstantinzolotarev","286431","https://github.com/konstantinzolotarev","0x0d474720391adb5df5a60ac43949217f89eafc759fd9f74720ef836fff595568","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086069411"
"maraoz","287189","https://github.com/maraoz","0x1356ac89386e1871a2dfa40d3fd8b44e9bffbcc576e62ce133327c3867488b8f","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085140563"
"shayanb","309108","https://github.com/shayanb","0x2e8d42d7e658a173e509c6eb329aa96a8b67bcce142e3040efa45673829628eb","https://gist.github.com/a85aef16d17479d1c7116141d5a6e100"
"ericxtang","345743","https://github.com/ericxtang","0x1c239caedb281f6784fe2a43cb90c02c4cf777d4bc65f923027418d27da9d04c","https://gist.github.com/6817a28d45af9b05fef2f80fdd849444"
"jflo","345937","https://github.com/jflo","0x00753bae1d139645deb8a7408e51d0bb1dd851a32f7887d813b543ce90258f3d","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085142213"
"hpmaxi","358059","https://github.com/hpmaxi","0x1050ecfb3266941e247780106cdc06d6961bd4ba45b940bd51c433f972bf5451","https://gist.github.com/22633ba262f5d76f1a8dceaf16807769"
"katspaugh","381895","https://github.com/katspaugh","0x00208fa58837552ffdd7835194473a9e3bd5646ce48914697c88e075132f72bb","https://gist.github.com/2ab21732f9e1c47d8b70aa490ca44245"
"numan","388591","https://github.com/numan","0x1dc554f89e0bab6845e4f3b44b1132b4505a4169f9b4e96c9bd640ac1cd7301e","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094307205"
