user,userId,userUrl,publicId,submissionUrl,commentId
"zhongeric","25067635","https://github.com/zhongeric","0x1fa028bf297be94d517f271ab55f455b7e59d8e70d8ee3735f87fa0236963acc","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085264859","1085264859"
"Tusherx","25071954","https://github.com/Tusherx","0x0196194747199bf7760a5a27a5f4edf2e93f7bcb5c7a3b26d8ee4f16584b6169","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094285460","1094285460"
"Timidan","25876969","https://github.com/Timidan","0x0dba7bcb9a6e5c7717ed20fd7ce245052ea1c96c675b02fc95fa4e7c274efdd9","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085299864","1085299864"
"tbhaxor","28386721","https://github.com/tbhaxor","0x004e7c1fed0a8b25c59c4d0505a920eddbfc9006192528d280ff777df9235785","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086046991","1086046991"
"kzn4","28773500","https://github.com/kzn4","0x25af0eda9ab09027598fc76ec8d0ef6302e8c7a9537a453a65281fae83d01379","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094177573","1094177573"
"vijay1528","29378784","https://github.com/vijay1528","0x1549bfdb82aa235a90ea20ae32766c3e0ad4a9cb55fdda225642a0dc117924a1","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094169968","1094169968"
"lABBMATRIXX","29418434","https://github.com/lABBMATRIXX","0x2d68e8b4a1798556500d95b86e4a06ba64cc0c921a0c6415d0e27444d298946a","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086802862","1086802862"
"loujiexuan","30738740","https://github.com/loujiexuan","0x10a2a307fdf6902c4dbb0ecfb673478737992a36e23a7ed613a707bff78976c2","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085839896","1085839896"
"dapingzui","31148352","https://github.com/dapingzui","0x288b558ee56a8ed917431a6c7bf1ba991d4cd5d5163c269022fa511618409b59","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085433929","1085433929"
"jy00532539","31151027","https://github.com/jy00532539","0x032b116f65571aa9d740bf997f3f31fc0edee6d6c3e2e4bee64fa6be83c83ac3","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1091011163","1091011163"
"zhenghu1986","31298487","https://github.com/zhenghu1986","0x15ee89b26635d9ff465957579d7ac7dcee835578321868b757b8feb346c58188","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085333786","1085333786"
"zl19791","32194055","https://github.com/zl19791","0x2ef38ac6a42e916c337749c660da420a52083977d3aa327f6ca94eac9550af68","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085303145","1085303145"
"modewei","32323606","https://github.com/modewei","0x23f54366c713b1328d7d8508e59c1c4a56162e8a539b145f69240800ffc25a83","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086048075","1086048075"
"ahmad32","32346715","https://github.com/ahmad32","0x262a69c6ea46fc149f8d675e4303c6eb811f160f62966a2f35515a16174299fb","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094178064","1094178064"
"afeng8","32700190","https://github.com/afeng8","0x2d1c30211c3bab7715410afbdc8cc3ab6b3735894a54a17705cbd3001d69f25f","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085379344","1085379344"
"Thanatos-JFJ","32827336","https://github.com/Thanatos-JFJ","0x1cbc7d00e72ec45f6b8387b2396817f39cc8051675e81ee8266a2d5a6db780d0","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085386760","1085386760"
"hirosanta27","32964035","https://github.com/hirosanta27","0x09fc4fec223d7132bc5bdf6beb39a3bdf8c3aa9aef829843567fe1e4bdb102e1","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085781949","1085781949"
"diazho","33140802","https://github.com/diazho","0x24f7ad1ba47ba1bb3e0ed119e7caa97c1037ae985cae5df718548a0d8e382228","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085657720","1085657720"
"rjramesh","33414006","https://github.com/rjramesh","0x0654262ec61d9ac7ba5f1a27c2c075e20a0dc93a292c29a7586ab87afa734e76","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086163561","1086163561"
"shuremura","33692959","https://github.com/shuremura","0x1aa0c6c6c553ed1195d0e1654b0e2b4e378fabecfe4b9c5066068fed5eb9c32a","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085439325","1085439325"
"Kessyboy","33713673","https://github.com/Kessyboy","0x1175beb419554b37fc9d6b5a7cc89754190e625362b0c87dd2635b7fa6b7cdcb","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094133838","1094133838"
"khoirunnida","33805355","https://github.com/khoirunnida","0x12f2851aa47d6dcda8daf157319328680c589995b6dcefaf87c99d9f60c9f21a","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094012481","1094012481"
"HarbdhulQuadri","33990653","https://github.com/HarbdhulQuadri","0x2dba8237a55b9bbabbc5fff08af399e5e7b22a867c265a33b1c862109c89c5d3","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094140520","1094140520"
"ratankaliani","34041956","https://github.com/ratankaliani","0x205aba577c3eee058bf0621a2212af957aa4bc6b3cd9b144b97183a7b809231f","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085423994","1085423994"
"adigotze","34182909","https://github.com/adigotze","0x1122941a29f9b4a107bfa13a0afb49247d0b376d07dc54de64c898917841d291","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094169621","1094169621"
"trioofajar","34312842","https://github.com/trioofajar","0x2e783f455ce860d7fb8b6f123e7ad9ab5d68ecf8b790221b642d69fe09d21e8b","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094121522","1094121522"
"stony1984","34482291","https://github.com/stony1984","0x22ac34af160ad7c5a05e4ba2060e1183ab0bab5803d457e1efcbaccd47ee4a67","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1085279790","1085279790"
"achuammu","34680141","https://github.com/achuammu","0x1e9ee7513ef1cde385873dbd82f3ee4092892c2d1f1c65054057c362e07a9a83","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094176641","1094176641"
"asamarsal","34872359","https://github.com/asamarsal","0x13d76e3f26443d9c0267e063b272e36c52404a9da172a72769e9460dde88edf0","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1094164962","1094164962"
"sshmm","34943689","https://github.com/sshmm","0x0abea277234a36ee6916800fa9562fd7dc2717ee03cd4a5ac2200ce4a6f8ea5e","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1087724384","1087724384"
"rahul-kothari","35169918","https://github.com/rahul-kothari","0x2ee48cdcb795e9fc61f6fed41f3cdb682684a3b85b58be88e09eac79d31a0fd3","https://github.com/element-fi/elf-council-frontend/issues/384#issuecomment-1086395394","1086395394"
