user,userId,userUrl,invalidSubmission,submissionUrl,commentId
"Peters6444","25210004","https://github.com/Peters6444","Peters6444","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094313384","1094313384"
"Azippy","31494281","https://github.com/Azippy","0xc30f9996ccD802EAD447f6575AF16f394769A091","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094227592","1094227592"
"ndrink","35225768","https://github.com/ndrink","ndrink","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094183162","1094183162"
"Abolaji11","35625780","https://github.com/Abolaji11","Here is my address, am definitely a human and not a bot

0xF3C07d76bf0d3f74C21B299e3BeE517391ceCcB6","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094245482","1094245482"
"talk2ec","36550074","https://github.com/talk2ec","Taking out ineligible accounts. ","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094242942","1094242942"
"smithsolo","37328146","https://github.com/smithsolo","I am not a bot","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094249358","1094249358"
"manju26884","41605638","https://github.com/manju26884","manju26884","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094184164","1094184164"
"fraka123","43751699","https://github.com/fraka123","![Uploading cover2.jpg…]()
","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094309784","1094309784"
"Adonis1245","58106549","https://github.com/Adonis1245","0x83fF5aC17E0D25B51faBcc40f4484A7c13451872","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094193884","1094193884"
"standardsam","72789767","https://github.com/standardsam","Pls don't delete my comment ","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094257834","1094257834"
"Captainjug","75387595","https://github.com/Captainjug","0x2ACADF3fbD722Dd79c4a0ef64962879a247999d2","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094220417","1094220417"
"Eehsha","76849505","https://github.com/Eehsha","0xbddcAf3a97474916BE9f5c6e965b5488f0c517Aa","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094236597","1094236597"
"patratwitter","77768269","https://github.com/patratwitter","0xEa63336AC871755E99C8A23c48ce256042D1D89c","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094181581","1094181581"
"ehenry-50","78314226","https://github.com/ehenry-50","0xA81B0eA7525b4D0493DC7Ff75A7C62e1b9A6a4A5
","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094280551","1094280551"
"Goldenprince4u","78371869","https://github.com/Goldenprince4u","0xa9f5863805646226a3345DaF22c5ea413CED8760","https://github.com/element-fi/elf-council-frontend/issues/724#issuecomment-1094199563","1094199563"
